DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
ACAP Saint John: Community-Based Water Monitoring Program,HazenCreekUp,Hazen Creek Upstream,45.26861111,-65.98027778,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-18,0:00:00,,,,,Water Bottle,Fecal Coliform,,,20,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-18,0:00:00,,,,,Water Bottle,Fecal Coliform,,,55,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-18,0:00:00,,,,,Water Bottle,Fecal Coliform,,,47,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,INUP,Inner Harbour Upstream,45.27469,-66.08897,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-21,0:00:00,,,,,Water Bottle,Fecal Coliform,,,0,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-21,0:00:00,,,,,Water Bottle,Fecal Coliform,,,54,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-21,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-06-21,0:00:00,,,,,Water Bottle,Fecal Coliform,,,882,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-25,0:00:00,,,,,Water Bottle,Fecal Coliform,,,64,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,RedHeadMarsh,Red Head Marsh,45.26083333,-66.01611111,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-25,0:00:00,,,,,Water Bottle,Fecal Coliform,,,0,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayDown,South Bay Downstream,45.27027778,-66.12555556,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-25,0:00:00,,,,,Water Bottle,Fecal Coliform,,,3,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,INDN,Inner Harbour Downstream,45.272068,-66.073478,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-06-28,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1300,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-06-28,0:00:00,,,,,Water Bottle,Fecal Coliform,,,4800,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-06-28,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1400,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-03,0:00:00,,,,,Water Bottle,Fecal Coliform,,,3238,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-03,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1438,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-03,0:00:00,,,,,Water Bottle,Fecal Coliform,,,155,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
